cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00023__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,GS_tag__91__c0__93__,objective
7.002521008403361691e+01,-5.571428571428571530e+01,0.000000000000000000e+00,6.161344537815126188e+01,1.010504201680672232e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.403361344537815025e+00,-4.042016806722688926e+01,0.000000000000000000e+00,1.201680672268907513e+00,-1.059663865546218453e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.210084033613445520e+00,-3.321008403361344818e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.701680672268907735e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.014736842105263150e+02,-2.771052631578947256e+01,0.000000000000000000e+00,8.936842105263157521e+01,0.000000000000000000e+00,3.105263157894736725e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.713157894736841769e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.894736842105263719e+00,-6.000000000000000000e+00,-9.105263157894736281e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
2.309545454545454675e+02,-1.905795454545454675e+02,-2.300000000000000000e+01,1.987045454545454675e+02,0.000000000000000000e+00,6.356818181818182012e+01,0.000000000000000000e+00,-6.706818181818181301e+01,0.000000000000000000e+00,-3.500000000000000000e+00,-8.856818181818181301e+01,0.000000000000000000e+00,1.750000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.406818181818181301e+01,0.000000000000000000e+00,7.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,6.706818181818181301e+01,0.000000000000000000e+00
5.250000000000000000e+00,-3.375000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.291666666666667129e-02,0.000000000000000000e+00
6.110192837465564963e+00,-3.785123966942148588e+00,-1.752066115702479276e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.159779614325068708e-01,0.000000000000000000e+00,4.600550964187327674e-01,-2.920110192837465646e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.460055096418732823e-01,-4.159779614325068708e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.760330578512396382e-01,-1.752066115702479276e+00,5.840220385674931292e-01,-6.198347107438016701e-02,0.000000000000000000e+00,6.198347107438016701e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.159779614325068708e-01,6.198347107438016701e-02
3.830845771144278711e+00,-2.231343283582089665e+00,0.000000000000000000e+00,1.646766169154228798e+00,0.000000000000000000e+00,6.467661691542289093e-01,3.233830845771144546e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.383084577114428004e-01,-1.014925373134328401e+00,0.000000000000000000e+00,1.691542288557214002e-01,0.000000000000000000e+00,-3.233830845771144546e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.850746268656715987e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.555555555555555358e+00,-8.833333333333333925e+00,0.000000000000000000e+00,7.055555555555555358e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.055555555555555358e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.555555555555555358e+00,0.000000000000000000e+00,-7.500000000000000000e-01,5.000000000000000000e-01,7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01
1.490683229813664523e+00,-1.167701863354037251e+00,-6.211180124223602064e-03,1.472049689440993792e+00,0.000000000000000000e+00,4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.695652173913043237e-02,0.000000000000000000e+00,-5.155279503105589800e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.242236024844720413e-02,-5.155279503105589800e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.155279503105589800e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.211180124223602064e-03,5.155279503105589800e-01,0.000000000000000000e+00
1.376571428571428669e+03,-1.201785714285714221e+03,-4.000000000000000000e+00,1.837428571428571331e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.105714285714285552e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.088000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.658571428571428328e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.552857142857142776e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.211428571428571104e+02,0.000000000000000000e+00
1.121951219512195053e+02,-2.409756097560975618e+01,0.000000000000000000e+00,9.546341463414634632e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.573170731707317316e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.731707317073170660e-02,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
