cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00129__91__e0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
8.440147329650091734e+00,-4.708103130755064036e+00,0.000000000000000000e+00,5.108655616942909816e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.108655616942909372e-01,-2.132596685082873034e+00,0.000000000000000000e+00,3.554327808471454686e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.554327808471454908e+00,0.000000000000000000e+00,-2.891344383057090073e-01,0.000000000000000000e+00,2.891344383057090073e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.891344383057090073e-01
1.160563380281690193e+01,-8.105633802816901934e+00,0.000000000000000000e+00,9.938967136150234083e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.666666666666666297e-01,-2.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333148e-01,-2.767605633802816989e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.255514705882352811e+00,-1.099264705882353033e+00,-7.500000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.801470588235293546e-02,-1.250000000000000000e-01,-5.569852941176470784e-01,0.000000000000000000e+00,6.250000000000000000e-02,-1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.430147058823529216e-01,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.190909090909090473e+00,-7.163636363636364024e+00,0.000000000000000000e+00,8.163636363636364024e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.054545454545454675e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.902097902097901527e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.929351121892055820e+00,-9.166161309884778285e-01,-1.060642813826561559e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.032140691328077606e-02,-5.051546391752577136e-01,0.000000000000000000e+00,1.516070345664038803e-02,-3.232261976955730920e-01,0.000000000000000000e+00,-3.032140691328077606e-02,1.126556887624201135e-02,0.000000000000000000e+00,-3.032140691328077606e-02,3.535476046088538715e-01,-3.032140691328077606e-02,0.000000000000000000e+00,3.032140691328077606e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.032140691328077606e-02
1.531114952463267009e+00,-9.286949006050129185e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.507346585998271982e-02,-2.852203975799481594e-01,0.000000000000000000e+00,4.753673292999135991e-02,-3.016421780466724267e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.944950468718835548e-03,0.000000000000000000e+00,-1.901469317199654396e-01,0.000000000000000000e+00,-4.753673292999135991e-02,0.000000000000000000e+00,4.753673292999135991e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.753673292999135991e-02
1.936170212765957466e+00,-7.063829787234042756e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.744680851063829807e-01,-5.815602836879432691e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.907801418439716346e-02,-6.744680851063830085e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.744680851063829807e-01,0.000000000000000000e+00,-8.723404255319149037e-02,0.000000000000000000e+00,8.723404255319149037e-02,6.163120567375886955e-03,0.000000000000000000e+00,8.723404255319149037e-02
6.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.051111111111111143e+02,-3.666666666666666430e+01,0.000000000000000000e+00,5.288888888888888573e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.666666666666666297e-01,-4.666666666666666963e+00,0.000000000000000000e+00,3.333333333333333148e-01,-5.222222222222222143e+01,0.000000000000000000e+00,-1.333333333333333259e+00,1.982905982905982967e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.611111111111111271e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.005555555555555536e+01,-8.111111111111110716e+00,-2.333333333333333481e+00,6.333333333333333037e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.777777777777777679e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.777777777777777901e-01,0.000000000000000000e+00,-1.000000000000000000e+00,2.991452991452991581e-02,0.000000000000000000e+00,-2.777777777777777679e+00,7.777777777777777901e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
