cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
2.581632653061224687e+02,-1.081632653061224545e+02,0.000000000000000000e+00,1.790816326530612344e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.183673469387755262e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.104591836734693828e+02,-2.091836734693877631e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.091836734693877631e+01,0.000000000000000000e+00,2.091836734693877631e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.091836734693877631e+01
2.017045454545454675e+01,-1.203977272727272663e+01,0.000000000000000000e+00,1.064772727272727337e+01,0.000000000000000000e+00,7.386363636363636465e-01,-7.386363636363636465e-01,0.000000000000000000e+00,-2.000000000000000000e+00,-9.693181818181818343e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-6.954545454545454142e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.386363636363636465e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.567164179104477473e+00,-1.791044776119402882e-01,1.019402985074626855e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.156716417910447881e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.134328358208955390e-01,-6.268656716417910779e-01,5.970149253731343170e-02,0.000000000000000000e+00,3.134328358208955390e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.922500000000000000e+02,-1.572500000000000000e+02,-9.450000000000000000e+01,3.950000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.450000000000000000e+01,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.350000000000000000e+01,1.057692307692307709e+00,0.000000000000000000e+00,-6.000000000000000000e+00,-1.045000000000000000e+02,3.150000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.751219512195121908e+01,-1.292682926829268375e+01,0.000000000000000000e+00,2.068292682926829329e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.034146341463414664e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-2.668292682926829329e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.170731707317073100e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.795454545454545610e+02,-1.363636363636363740e+02,0.000000000000000000e+00,2.000000000000000000e+02,0.000000000000000000e+00,1.363636363636363669e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+02,0.000000000000000000e+00,7.167832167832167478e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.818181818181818343e+00,0.000000000000000000e+00,6.818181818181818343e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.818181818181818343e+00
1.418032786885245811e+00,-1.549180327868852514e+00,0.000000000000000000e+00,1.786885245901639330e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.622950819672131284e-01,0.000000000000000000e+00,-1.737704918032786816e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.837326607818410965e-02,0.000000000000000000e+00,-2.622950819672131284e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.247896213183730785e+00,-1.378681626928471182e+00,-7.573632538569424755e-02,7.934782608695651884e-01,0.000000000000000000e+00,1.497194950911640843e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.905329593267881982e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.893408134642356189e-02,-7.485974754558204214e-02,0.000000000000000000e+00,7.485974754558204214e-02,0.000000000000000000e+00,1.893408134642356189e-02,7.485974754558204214e-02
4.421875000000000000e+02,-1.640625000000000000e+02,-4.218750000000000000e+01,2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.406250000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+02,0.000000000000000000e+00,7.692307692307692513e+00,0.000000000000000000e+00,-1.406250000000000000e+01,0.000000000000000000e+00,1.406250000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.071678321678321666e+00,0.000000000000000000e+00,8.601398601398601018e-01,0.000000000000000000e+00,3.496503496503496500e-03,0.000000000000000000e+00,4.300699300699300509e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.451048951048951041e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.167832167832167700e-01,0.000000000000000000e+00,-7.342657342657342434e-02,1.433566433566433596e-01,7.342657342657342434e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.342657342657342434e-02
4.656250000000000000e+00,-5.656250000000000000e+00,0.000000000000000000e+00,7.312500000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.312500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.274038461538461453e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.721951219512195053e+01,-1.660975609756097526e+01,-1.200000000000000000e+01,1.814634146341463250e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,-9.073170731707316250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.007317073170731769e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.605555555555555713e+01,-9.108333333333332860e+01,-4.000000000000000000e+00,8.405555555555555713e+01,0.000000000000000000e+00,8.205555555555555713e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.905555555555555713e+01,1.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
3.306569343065693278e+00,-4.306569343065693722e+00,0.000000000000000000e+00,3.445255474452554534e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.861313868613138744e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.934306569343065552e-02,0.000000000000000000e+00,6.934306569343065552e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.934306569343065552e-02
2.125203252032520496e+01,-1.537398373983739752e+01,0.000000000000000000e+00,4.504065040650406360e+00,0.000000000000000000e+00,5.040650406504064707e-01,0.000000000000000000e+00,6.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.040650406504064707e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+01,0.000000000000000000e+00,-2.520325203252032353e-01,0.000000000000000000e+00,2.520325203252032353e-01,2.520325203252032735e-03,0.000000000000000000e+00,2.520325203252032353e-01
1.000000000000000000e+00,-6.449226630800268811e-01,-1.654337592468056450e-01,1.186281102891728390e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.482851378614660209e-01,0.000000000000000000e+00,-2.757229320780094084e-02,-1.434431741761936774e+00,0.000000000000000000e+00,1.378614660390047042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.514458641560188168e-02,-4.135843981170141126e-02,0.000000000000000000e+00,4.135843981170141126e-02,2.827841291190315992e-03,0.000000000000000000e+00,4.135843981170141126e-02
2.810309278350515427e+01,-2.282474226804123774e+01,0.000000000000000000e+00,5.773195876288659711e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.177319587628866060e+01,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.886597938144329856e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.777319587628866060e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443298969072164872e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.033333333333332860e+01,-3.200000000000000000e+01,0.000000000000000000e+00,3.666666666666666430e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.266666666666666430e+01,0.000000000000000000e+00,1.256410256410256387e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.833333333333333204e-01,0.000000000000000000e+00,0.000000000000000000e+00
